A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,Predict Time
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1309.0,-1591.26,705.95,2.1226766109466553
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1171.07,-1595.24,616.19,2.1233537197113037
1650.0,880.0,1220.0,600.0,2360.0,482.0,1338.06,1279.19,579.52,1.9272010326385498
1650.0,880.0,1220.0,600.0,2360.0,482.0,1194.46,1655.44,522.29,1.9438083171844482
1650.0,880.0,1220.0,600.0,2360.0,482.0,1257.57,1649.84,567.69,1.9447438716888428
1650.0,880.0,1220.0,600.0,2360.0,482.0,1344.63,1738.96,646.02,1.9527909755706787
1650.0,880.0,1220.0,600.0,2360.0,482.0,1437.12,1478.19,717.13,1.9543721675872803
1650.0,880.0,1220.0,600.0,2360.0,482.0,1113.13,1811.06,496.75,1.9555480480194092
1650.0,880.0,1220.0,600.0,2360.0,482.0,1320.36,1673.95,637.87,1.9556519985198975
1650.0,880.0,1220.0,600.0,2360.0,482.0,1448.34,1454.21,728.8,1.9559180736541748
1650.0,880.0,1220.0,600.0,2360.0,482.0,1195.64,1531.47,560.21,1.9565675258636475
1650.0,880.0,1220.0,600.0,2360.0,482.0,1361.42,1612.43,673.43,1.9575450420379639
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1311.82,-1540.64,508.8,1.9691083431243896
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1310.96,-1391.89,505.99,1.969247579574585
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1353.61,-1363.11,533.67,1.9692761898040771
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1473.08,-1696.07,628.17,1.9724080562591553
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1500.98,-1445.14,667.96,1.9814107418060303
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1322.11,-1287.81,545.19,1.9817655086517334
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1222.4,-1458.19,485.63,1.982837438583374
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1567.32,-1569.26,733.43,1.9885632991790771
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1384.21,-1390.6,608.9,1.9889791011810303
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1367.31,-1444.88,599.95,1.9892289638519287
1650.0,880.0,1220.0,950.0,2478.5,482.0,1445.16,1471.45,487.26,1.7979342937469482
1650.0,880.0,1220.0,950.0,2478.5,482.0,1567.41,2186.73,594.31,1.8118846416473389
1650.0,880.0,1220.0,950.0,2478.5,482.0,1481.89,1621.03,551.76,1.813877820968628
1650.0,880.0,1220.0,950.0,2478.5,482.0,1413.55,1602.07,517.21,1.8178431987762451
1650.0,880.0,1220.0,950.0,2478.5,482.0,1389.86,1389.56,537.52,1.8290612697601318
