A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,Predict Time
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,674.26,-1406.82,874.51,2.3443639278411865
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,874.92,-1624.66,894.2,2.3785016536712646
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1011.41,-1250.06,789.96,2.3835647106170654
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,906.62,-1603.79,933.91,2.404313802719116
1650.0,880.0,1220.0,425.0,2072.5,482.0,917.37,1307.07,814.05,2.2218196392059326
1650.0,880.0,1220.0,425.0,2072.5,482.0,813.22,1285.55,909.38,2.243748426437378
1650.0,880.0,1220.0,425.0,2072.5,482.0,1042.96,1532.95,783.25,2.2483956813812256
1650.0,880.0,1220.0,425.0,2072.5,482.0,873.62,1231.09,909.34,2.2518470287323
1650.0,880.0,1220.0,425.0,2072.5,482.0,988.24,1430.32,831.64,2.2529056072235107
1650.0,880.0,1220.0,425.0,2072.5,482.0,1023.09,1419.29,825.03,2.255819082260132
1650.0,880.0,1220.0,425.0,2072.5,482.0,1159.31,1411.48,775.49,2.259678602218628
1650.0,880.0,1220.0,425.0,2072.5,482.0,1097.7,1213.27,854.71,2.270136594772339
1650.0,880.0,1220.0,425.0,2072.5,482.0,837.25,1621.46,906.28,2.270367383956909
1650.0,880.0,1220.0,425.0,2072.5,482.0,1104.41,1192.45,890.47,2.2866084575653076
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,841.93,-1893.39,808.46,2.1890523433685303
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1063.29,-1544.73,712.85,2.2132508754730225
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,993.46,-1771.26,810.16,2.2286183834075928
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1266.61,-1483.35,761.77,2.2806756496429443
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,971.15,-1419.56,885.48,2.2834489345550537
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1066.39,-1436.04,856.62,2.287910223007202
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,909.67,-1390.9,926.88,2.292203664779663
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,860.15,-1510.92,970.53,2.2943990230560303
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1125.58,-1511.27,870.14,2.3009049892425537
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1063.27,-1688.29,942.92,2.3095147609710693
1650.0,880.0,1220.0,662.5,2072.5,482.0,980.55,1255.67,800.63,2.14933180809021
1650.0,880.0,1220.0,662.5,2072.5,482.0,1037.56,1413.03,784.9,2.1639630794525146
1650.0,880.0,1220.0,662.5,2072.5,482.0,1040.94,1151.19,845.49,2.1746737957000732
1650.0,880.0,1220.0,662.5,2072.5,482.0,1018.41,1401.37,849.46,2.189326047897339
1650.0,880.0,1220.0,662.5,2072.5,482.0,1113.33,1457.62,823.04,2.199700117111206
1650.0,880.0,1220.0,662.5,2072.5,482.0,1182.22,1427.41,820.04,2.2100331783294678
1650.0,880.0,1220.0,662.5,2072.5,482.0,1033.34,1581.76,906.08,2.2305238246917725
1650.0,880.0,1220.0,662.5,2072.5,482.0,980.91,1410.87,980.68,2.242924451828003
1650.0,880.0,1220.0,662.5,2072.5,482.0,983.18,1443.24,976.15,2.2436625957489014
1650.0,880.0,1220.0,662.5,2072.5,482.0,1030.9,1358.64,971.43,2.2450482845306396
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1182.66,-1560.93,793.25,2.1486871242523193
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1377.39,-1177.87,692.01,2.1677911281585693
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1272.63,-1420.27,828.25,2.192626714706421
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1315.7,-1637.45,848.69,2.1955583095550537
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1421.27,-1546.1,796.77,2.199126958847046
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1190.43,-1461.11,908.61,2.2105443477630615
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1349.88,-1489.45,852.97,2.2146966457366943
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1276.92,-1591.41,923.32,2.2255704402923584
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1206.36,-1374.56,929.89,2.2297322750091553
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1355.86,-1539.95,892.03,2.2303102016448975
1650.0,880.0,1220.0,950.0,2241.5,482.0,1138.58,1578.92,834.65,2.1371219158172607
1650.0,880.0,1220.0,950.0,2241.5,482.0,1278.96,1549.87,816.94,2.1551263332366943
1650.0,880.0,1220.0,950.0,2241.5,482.0,1311.7,1603.62,822.44,2.1679723262786865
1650.0,880.0,1220.0,950.0,2241.5,482.0,1310.0,1670.11,816.95,2.1698720455169678
1650.0,880.0,1220.0,950.0,2241.5,482.0,1073.92,1773.9,911.23,2.1735169887542725
1650.0,880.0,1220.0,950.0,2241.5,482.0,1182.91,1517.03,903.55,2.173574209213257
1650.0,880.0,1220.0,950.0,2241.5,482.0,1337.65,1579.53,833.97,2.176426649093628
1650.0,880.0,1220.0,950.0,2241.5,482.0,1310.9,1699.79,844.52,2.1846282482147217
1650.0,880.0,1220.0,950.0,2241.5,482.0,1216.46,1884.91,867.66,2.189598798751831
1650.0,880.0,1220.0,950.0,2241.5,482.0,1433.19,1353.47,855.86,2.1903693675994873
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,804.54,-1872.42,967.2,2.2806451320648193
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,734.87,-1951.4,1033.94,2.2921712398529053
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,906.99,-2024.48,982.48,2.29776930809021
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,827.97,-1812.74,985.01,2.2977731227874756
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,771.43,-1808.08,1009.92,2.298450231552124
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,783.57,-1675.8,1012.27,2.310781240463257
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,903.83,-1885.78,1000.63,2.314939260482788
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,689.55,-1873.19,1102.25,2.31986403465271
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,926.45,-2068.57,1035.07,2.3225972652435303
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,924.39,-1595.66,981.33,2.3304364681243896
1650.0,880.0,1220.0,950.0,2010.0,482.0,1298.06,1463.94,683.94,2.0777390003204346
1650.0,880.0,1220.0,950.0,2010.0,482.0,1300.82,1393.0,694.12,2.077820062637329
1650.0,880.0,1220.0,950.0,2010.0,482.0,1307.09,1344.91,710.3,2.0830252170562744
1650.0,880.0,1220.0,950.0,2010.0,482.0,1263.4,1495.0,744.86,2.101055383682251
1650.0,880.0,1220.0,950.0,2010.0,482.0,1269.89,1658.32,777.37,2.128469228744507
1650.0,880.0,1220.0,950.0,2010.0,482.0,1283.5,1367.36,822.26,2.1317813396453857
1650.0,880.0,1220.0,950.0,2010.0,482.0,1353.09,1370.61,797.61,2.134758710861206
1650.0,880.0,1220.0,950.0,2010.0,482.0,1306.59,1672.95,803.1,2.148681879043579
1650.0,880.0,1220.0,950.0,2010.0,482.0,1181.18,1437.32,903.41,2.153792142868042
1650.0,880.0,1220.0,950.0,2010.0,482.0,1313.98,1419.93,883.94,2.169970750808716
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,976.11,-1964.73,916.22,2.1605279445648193
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,982.2,-1672.69,885.89,2.1683461666107178
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1092.13,-2034.59,962.02,2.199918508529663
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1023.02,-2384.87,1059.45,2.20676589012146
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1282.62,-1817.94,888.52,2.219114065170288
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1043.38,-1542.93,959.42,2.2232720851898193
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1390.89,-1680.48,831.97,2.2244412899017334
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1144.39,-1340.27,890.3,2.225969076156616
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,971.08,-1691.58,1023.68,2.228271245956421
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1053.44,-1738.72,1008.17,2.2341878414154053
1650.0,880.0,1220.0,250.0,2710.0,702.0,783.75,1639.01,871.28,2.273284673690796
1650.0,880.0,1220.0,250.0,2710.0,702.0,892.61,1621.06,887.7,2.3010480403900146
1650.0,880.0,1220.0,250.0,2710.0,702.0,647.8,1984.32,950.26,2.306089162826538
1650.0,880.0,1220.0,250.0,2710.0,702.0,523.91,2212.49,1005.54,2.323362112045288
1650.0,880.0,1220.0,250.0,2710.0,702.0,1051.23,2066.28,834.21,2.338947057723999
1650.0,880.0,1220.0,250.0,2710.0,702.0,1080.41,1821.99,864.79,2.3416764736175537
1650.0,880.0,1220.0,250.0,2710.0,702.0,1129.83,1944.77,829.89,2.344470739364624
1650.0,880.0,1220.0,250.0,2710.0,702.0,881.82,1780.16,975.45,2.3507325649261475
1650.0,880.0,1220.0,250.0,2710.0,702.0,666.7,1707.91,1112.15,2.3657472133636475
1650.0,880.0,1220.0,250.0,2710.0,702.0,842.66,1802.5,1026.17,2.3677289485931396
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1213.75,-1520.37,760.65,2.042611837387085
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1290.63,-1911.11,858.75,2.0759999752044678
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1206.59,-1879.06,921.33,2.09067702293396
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1462.59,-1781.68,822.21,2.102559804916382
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1373.4,-1999.78,900.07,2.105367422103882
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1259.03,-1589.04,889.53,2.1066434383392334
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1295.34,-1835.43,917.79,2.109557867050171
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1193.12,-1971.8,987.55,2.1119706630706787
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1161.49,-1874.66,990.61,2.1136929988861084
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1283.8,-1516.85,901.2,2.121721029281616
1650.0,880.0,1220.0,537.5,2647.5,702.0,863.68,1734.23,976.46,2.2483956813812256
1650.0,880.0,1220.0,537.5,2647.5,702.0,1001.48,1814.64,907.52,2.2496678829193115
1650.0,880.0,1220.0,537.5,2647.5,702.0,1098.28,1489.37,914.38,2.249805212020874
1650.0,880.0,1220.0,537.5,2647.5,702.0,1080.82,1745.78,891.69,2.2537171840667725
1650.0,880.0,1220.0,537.5,2647.5,702.0,907.37,1848.12,964.9,2.2597920894622803
1650.0,880.0,1220.0,537.5,2647.5,702.0,967.45,2078.69,924.52,2.2692372798919678
1650.0,880.0,1220.0,537.5,2647.5,702.0,986.36,1619.68,986.67,2.269986867904663
1650.0,880.0,1220.0,537.5,2647.5,702.0,846.1,1853.86,1021.96,2.274371862411499
1650.0,880.0,1220.0,537.5,2647.5,702.0,1070.7,1590.31,986.97,2.284837484359741
1650.0,880.0,1220.0,537.5,2647.5,702.0,1168.3,1753.57,933.28,2.2905290126800537
1670.0,-880.0,1205.0,210.0,-2435.0,672.0,708.0,-1645.65,900.28,2.2608983516693115
1670.0,-880.0,1205.0,210.0,-2435.0,672.0,694.38,-1935.54,1018.48,2.292335271835327
